Instance; Heuristic; Execution; Score; Time(ms);
64-45-1-2.ophstw;1;1;546;9;
64-45-1-2.ophstw;1;2;618;10;
64-45-1-2.ophstw;1;3;546;9;
64-45-1-2.ophstw;1;4;546;15;
64-45-1-2.ophstw;1;5;444;13;
64-45-1-2.ophstw;1;6;546;14;
64-45-1-2.ophstw;1;7;546;11;
64-45-1-2.ophstw;1;8;546;12;
64-45-1-2.ophstw;1;9;618;11;
64-45-1-2.ophstw;1;10;618;14;
64-45-1-2.ophstw;2;1;450;17;
64-45-1-2.ophstw;2;2;402;13;
64-45-1-2.ophstw;2;3;450;13;
64-45-1-2.ophstw;2;4;450;13;
64-45-1-2.ophstw;2;5;462;11;
64-45-1-2.ophstw;2;6;450;11;
64-45-1-2.ophstw;2;7;450;12;
64-45-1-2.ophstw;2;8;450;11;
64-45-1-2.ophstw;2;9;402;11;
64-45-1-2.ophstw;2;10;402;11;
64-45-1-2.ophstw;3;1;450;12;
64-45-1-2.ophstw;3;2;402;12;
64-45-1-2.ophstw;3;3;450;12;
64-45-1-2.ophstw;3;4;450;12;
64-45-1-2.ophstw;3;5;462;11;
64-45-1-2.ophstw;3;6;450;12;
64-45-1-2.ophstw;3;7;450;11;
64-45-1-2.ophstw;3;8;450;19;
64-45-1-2.ophstw;3;9;402;14;
64-45-1-2.ophstw;3;10;402;15;
102-60-1-2.ophstw;1;1;70;16;
102-60-1-2.ophstw;1;2;209;12;
102-60-1-2.ophstw;1;3;70;13;
102-60-1-2.ophstw;1;4;70;16;
102-60-1-2.ophstw;1;5;70;25;
102-60-1-2.ophstw;1;6;70;16;
102-60-1-2.ophstw;1;7;70;14;
102-60-1-2.ophstw;1;8;70;14;
102-60-1-2.ophstw;1;9;209;12;
102-60-1-2.ophstw;1;10;209;14;
102-60-1-2.ophstw;2;1;98;15;
102-60-1-2.ophstw;2;2;188;16;
102-60-1-2.ophstw;2;3;98;12;
102-60-1-2.ophstw;2;4;98;16;
102-60-1-2.ophstw;2;5;98;18;
102-60-1-2.ophstw;2;6;98;16;
102-60-1-2.ophstw;2;7;98;15;
102-60-1-2.ophstw;2;8;98;13;
102-60-1-2.ophstw;2;9;188;16;
102-60-1-2.ophstw;2;10;188;13;
102-60-1-2.ophstw;3;1;98;14;
102-60-1-2.ophstw;3;2;188;12;
102-60-1-2.ophstw;3;3;98;14;
102-60-1-2.ophstw;3;4;98;13;
102-60-1-2.ophstw;3;5;98;14;
102-60-1-2.ophstw;3;6;98;14;
102-60-1-2.ophstw;3;7;98;14;
102-60-1-2.ophstw;3;8;98;17;
102-60-1-2.ophstw;3;9;188;14;
102-60-1-2.ophstw;3;10;188;16;
T3-100-1-2.ophstw;1;1;570;11;
T3-100-1-2.ophstw;1;2;510;11;
T3-100-1-2.ophstw;1;3;570;10;
T3-100-1-2.ophstw;1;4;570;17;
T3-100-1-2.ophstw;1;5;460;14;
T3-100-1-2.ophstw;1;6;570;10;
T3-100-1-2.ophstw;1;7;570;12;
T3-100-1-2.ophstw;1;8;570;11;
T3-100-1-2.ophstw;1;9;510;11;
T3-100-1-2.ophstw;1;10;510;13;
T3-100-1-2.ophstw;2;1;440;10;
T3-100-1-2.ophstw;2;2;480;10;
T3-100-1-2.ophstw;2;3;440;15;
T3-100-1-2.ophstw;2;4;440;10;
T3-100-1-2.ophstw;2;5;450;10;
T3-100-1-2.ophstw;2;6;440;12;
T3-100-1-2.ophstw;2;7;440;10;
T3-100-1-2.ophstw;2;8;440;12;
T3-100-1-2.ophstw;2;9;480;10;
T3-100-1-2.ophstw;2;10;480;9;
T3-100-1-2.ophstw;3;1;440;10;
T3-100-1-2.ophstw;3;2;480;10;
T3-100-1-2.ophstw;3;3;440;15;
T3-100-1-2.ophstw;3;4;440;12;
T3-100-1-2.ophstw;3;5;450;12;
T3-100-1-2.ophstw;3;6;440;12;
T3-100-1-2.ophstw;3;7;440;12;
T3-100-1-2.ophstw;3;8;440;13;
T3-100-1-2.ophstw;3;9;480;12;
T3-100-1-2.ophstw;3;10;480;13;
T3-105-1-2.ophstw;1;1;560;11;
T3-105-1-2.ophstw;1;2;530;12;
T3-105-1-2.ophstw;1;3;560;17;
T3-105-1-2.ophstw;1;4;560;11;
T3-105-1-2.ophstw;1;5;560;11;
T3-105-1-2.ophstw;1;6;560;11;
T3-105-1-2.ophstw;1;7;560;13;
T3-105-1-2.ophstw;1;8;560;10;
T3-105-1-2.ophstw;1;9;530;11;
T3-105-1-2.ophstw;1;10;530;13;
T3-105-1-2.ophstw;2;1;520;13;
T3-105-1-2.ophstw;2;2;580;12;
T3-105-1-2.ophstw;2;3;520;9;
T3-105-1-2.ophstw;2;4;520;10;
T3-105-1-2.ophstw;2;5;500;10;
T3-105-1-2.ophstw;2;6;520;10;
T3-105-1-2.ophstw;2;7;520;13;
T3-105-1-2.ophstw;2;8;520;13;
T3-105-1-2.ophstw;2;9;580;19;
T3-105-1-2.ophstw;2;10;580;11;
T3-105-1-2.ophstw;3;1;520;12;
T3-105-1-2.ophstw;3;2;580;12;
T3-105-1-2.ophstw;3;3;520;12;
T3-105-1-2.ophstw;3;4;520;12;
T3-105-1-2.ophstw;3;5;500;12;
T3-105-1-2.ophstw;3;6;520;9;
T3-105-1-2.ophstw;3;7;520;10;
T3-105-1-2.ophstw;3;8;520;12;
T3-105-1-2.ophstw;3;9;580;10;
