Instance; Heuristic; Execution; Score; Time(ms);
64-45-1-2.ophstw;1;1;546;59;
100-240-15-8.ophstw;1;1;672;1546;
100-240-15-8.ophstw;1;1;672;1138;
100-240-15-8.ophstw;1;1;672;1194;
100-240-15-8.ophstw;1;1;672;1198;
100-240-15-8.ophstw;1;1;672;1157;
100-240-15-8.ophstw;1;1;672;1187;
100-240-15-8.ophstw;1;1;672;1195;
100-240-15-8.ophstw;1;1;672;1231;
100-240-15-8.ophstw;1;1;672;1180;
100-240-15-8.ophstw;1;1;672;1204;
100-240-15-8.ophstw;1;1;672;1178;
100-240-15-8.ophstw;1;1;672;1196;
100-240-15-8.ophstw;1;1;672;1111;
