H0	18.19	6.32	0
C67	20.3	3.86	2
C17	25.69	6.34	6
C65	26.7	3.44	27
C41	28.88	0.86	24
C59	29.08	2.62	18
C55	28.47	6.08	23
H5	20.9	7.67	0

H5	20.9	7.67	0
C58	21.48	10.3	21
C74	22.05	7.74	10
C86	12.19	16.11	1
C53	11.96	15.15	17
H1	2.38	18.26	0

H1	2.38	18.26	0
C79	1.57	19.84	19
C46	4.31	23.12	20
C14	17.54	29.43	27
C6	18.43	29.93	23
C2	15.52	28.03	7
H9	18.43	29.93	0

H9	18.43	29.93	0
C16	12.38	26.66	1
C91	12.58	26.64	16
C13	13.44	24.76	17
C9	2.41	25.06	24
C20	3.54	26.16	18
H1	2.38	18.26	0

H1	2.38	18.26	0
C75	3.08	21.03	13
C63	6.82	21.1	13
C40	7	21.44	8
C56	6.52	19.42	17
C77	3.69	14.33	21
C85	7.49	6.59	24
C61	4.46	7.85	7
C22	3.77	7.84	1
H14	0.3	9.16	0

H14	0.3	9.16	0
C36	0.3	9.16	7
C64	6.48	2.46	25
C15	16.71	9.5	27
C8	14.78	7.61	26
C31	20.9	7.67	8
H5	20.9	7.67	0

H5	20.9	7.67	0
C97	18.63	4.3	24
C42	19.6	2.11	14
C87	17.52	0.97	10
C51	17.46	2.56	28
C4	16.93	2.09	24
C24	15.88	5.54	21
C68	17.02	12.33	17
C10	18.41	11.88	16
H13	20.49	14.03	0

H13	20.49	14.03	0
H1	2.38	18.26	0

